episode,timestamp,circuit,mode,success,wall_crash,timeout,checkpoints_passed,lap_time_s,episode_reward
19,2026-07-08 23:20:01,default,train,0,0,1,0,,-5.0171
19,2026-07-08 23:20:01,default,train,0,0,1,0,,-5.0171
19,2026-07-08 23:20:01,default,train,0,0,1,0,,-5.0162
19,2026-07-08 23:20:01,default,train,0,0,1,0,,-5.0029
19,2026-07-08 23:20:01,default,train,0,0,1,0,,-5.0130
19,2026-07-08 23:20:01,default,train,0,0,1,0,,-5.0270
19,2026-07-08 23:20:01,default,train,0,0,1,0,,-5.0161
19,2026-07-08 23:20:01,default,train,0,0,1,0,,-5.0162
20,2026-07-08 23:20:26,default,test,0,0,1,0,,-5.0152
20,2026-07-09 00:08:13,default,train,0,0,1,0,,-5.0270
20,2026-07-09 00:08:13,default,train,0,0,1,0,,-5.0029
20,2026-07-09 00:08:13,default,train,0,0,1,0,,-5.0173
20,2026-07-09 00:08:13,default,train,0,0,1,0,,-5.0172
20,2026-07-09 00:08:13,default,train,0,0,1,0,,-5.0174
20,2026-07-09 00:08:13,default,train,0,0,1,0,,-5.0172
20,2026-07-09 00:08:13,default,train,0,0,1,0,,-5.0029
20,2026-07-09 00:08:13,default,train,0,0,1,0,,-5.0161
20,2026-07-09 00:08:13,default,train,0,0,1,0,,-5.0172
21,2026-07-09 00:08:38,default,test,0,0,1,0,,-5.0154
21,2026-07-09 00:26:49,default,train,0,0,1,0,,-5.0059
21,2026-07-09 00:26:49,default,train,0,0,1,0,,-5.0299
21,2026-07-09 00:26:49,default,train,0,0,1,0,,-5.0293
21,2026-07-09 00:26:49,default,train,0,0,1,0,,-5.0162
21,2026-07-09 00:26:49,default,train,0,0,1,0,,-5.0187
21,2026-07-09 00:26:49,default,train,0,0,1,0,,-5.0238
21,2026-07-09 00:26:49,default,train,0,0,1,0,,-5.0244
21,2026-07-09 00:26:49,default,train,0,0,1,0,,-5.0058
21,2026-07-09 00:26:49,default,train,0,0,1,0,,-5.0239
22,2026-07-09 00:37:46,default,test,0,0,1,0,,-5.0154
22,2026-07-09 01:03:06,default,train,0,0,1,0,,-5.0223
22,2026-07-09 01:03:06,default,train,0,0,1,0,,-5.0162
22,2026-07-09 01:03:06,default,train,0,0,1,0,,-5.0132
22,2026-07-09 01:03:06,default,train,0,0,1,0,,-5.0226
22,2026-07-09 01:03:06,default,train,0,0,1,0,,-5.0272
22,2026-07-09 01:03:06,default,train,0,0,1,0,,-5.0131
22,2026-07-09 01:03:06,default,train,0,0,1,0,,-5.0271
22,2026-07-09 01:03:06,default,train,0,0,1,0,,-5.0132
22,2026-07-09 01:03:06,default,train,0,0,1,0,,-5.0223
23,2026-07-09 01:17:25,default,test,0,0,1,0,,-5.0154
23,2026-07-09 01:20:15,default,train,0,0,1,0,,-5.0029
23,2026-07-09 01:20:15,default,train,0,0,1,0,,-5.0161
23,2026-07-09 01:20:15,default,train,0,0,1,0,,-5.0172
23,2026-07-09 01:20:15,default,train,0,0,1,0,,-5.0230
23,2026-07-09 01:20:15,default,train,0,0,1,0,,-5.0162
23,2026-07-09 01:20:15,default,train,0,0,1,0,,-5.0227
23,2026-07-09 01:20:15,default,train,0,0,1,0,,-5.0174
23,2026-07-09 01:20:15,default,train,0,0,1,0,,-5.0269
23,2026-07-09 01:20:15,default,train,0,0,1,0,,-5.0131
24,2026-07-09 01:28:38,default,test,0,0,1,0,,-5.0154
24,2026-07-09 02:27:06,default,train,0,0,1,0,,-5.0232
24,2026-07-09 02:27:06,default,train,0,0,1,0,,-5.0270
24,2026-07-09 02:27:06,default,train,0,0,1,0,,-5.0270
24,2026-07-09 02:27:06,default,train,0,0,1,0,,-5.0272
24,2026-07-09 02:27:06,default,train,0,0,1,0,,-5.0029
24,2026-07-09 02:27:06,default,train,0,0,1,0,,-5.0224
24,2026-07-09 02:27:06,default,train,0,0,1,0,,-5.0272
24,2026-07-09 02:27:06,default,train,0,0,1,0,,-5.0173
24,2026-07-09 02:27:06,default,train,0,0,1,0,,-5.0231
25,2026-07-09 03:35:41,default,test,0,0,1,0,,-5.0154
25,2026-07-09 05:19:24,default,train,0,0,1,0,,-5.0029
25,2026-07-09 05:19:24,default,train,0,0,1,0,,-5.0029
25,2026-07-09 05:19:24,default,train,0,0,1,0,,-5.0131
25,2026-07-09 05:19:24,default,train,0,0,1,0,,-5.0173
25,2026-07-09 05:19:24,default,train,0,0,1,0,,-5.0272
25,2026-07-09 05:19:24,default,train,0,0,1,0,,-5.0173
25,2026-07-09 05:19:24,default,train,0,0,1,0,,-5.0172
25,2026-07-09 05:19:24,default,train,0,0,1,0,,-5.0029
25,2026-07-09 05:19:24,default,train,0,0,1,0,,-5.0172
26,2026-07-09 05:48:44,default,test,0,0,1,0,,-5.0152
26,2026-07-09 07:05:23,default,train,0,0,1,0,,-5.0271
26,2026-07-09 07:05:23,default,train,0,0,1,0,,-5.0172
26,2026-07-09 07:05:23,default,train,0,0,1,0,,-5.0222
26,2026-07-09 07:05:23,default,train,0,0,1,0,,-5.0160
26,2026-07-09 07:05:23,default,train,0,0,1,0,,-5.0129
26,2026-07-09 07:05:23,default,train,0,0,1,0,,-5.0230
26,2026-07-09 07:05:23,default,train,0,0,1,0,,-5.0172
26,2026-07-09 07:05:23,default,train,0,0,1,0,,-5.0170
26,2026-07-09 07:05:23,default,train,0,0,1,0,,-5.0268
27,2026-07-09 07:05:48,default,test,0,0,1,0,,-5.0154
27,2026-07-09 08:04:40,default,train,0,0,1,0,,-5.0029
27,2026-07-09 08:04:40,default,train,0,0,1,0,,-5.0271
27,2026-07-09 08:04:40,default,train,0,0,1,0,,-5.0130
27,2026-07-09 08:04:40,default,train,0,0,1,0,,-5.0029
27,2026-07-09 08:04:40,default,train,0,0,1,0,,-5.0232
27,2026-07-09 08:04:40,default,train,0,0,1,0,,-5.0132
27,2026-07-09 08:04:40,default,train,0,0,1,0,,-5.0272
27,2026-07-09 08:04:40,default,train,0,0,1,0,,-5.0173
27,2026-07-09 08:04:40,default,train,0,0,1,0,,-5.0029
28,2026-07-09 08:30:59,default,test,0,0,1,0,,-5.0154
28,2026-07-09 09:31:07,default,train,0,0,1,0,,-5.0054
28,2026-07-09 09:31:07,default,train,0,0,1,0,,-5.0193
28,2026-07-09 09:31:07,default,train,0,0,1,0,,-5.0182
28,2026-07-09 09:31:07,default,train,0,0,1,0,,-5.0055
28,2026-07-09 09:31:07,default,train,0,0,1,0,,-5.0288
28,2026-07-09 09:31:07,default,train,0,0,1,0,,-5.0055
28,2026-07-09 09:31:07,default,train,0,0,1,0,,-5.0234
28,2026-07-09 09:31:07,default,train,0,0,1,0,,-5.0055
28,2026-07-09 09:31:07,default,train,0,0,1,0,,-5.0195
29,2026-07-09 09:31:32,default,test,0,0,1,0,,-5.0154
29,2026-07-09 09:41:02,default,train,0,0,1,0,,-5.0161
29,2026-07-09 09:41:02,default,train,0,0,1,0,,-5.0029
29,2026-07-09 09:41:02,default,train,0,0,1,0,,-5.0272
29,2026-07-09 09:41:02,default,train,0,0,1,0,,-5.0174
29,2026-07-09 09:41:02,default,train,0,0,1,0,,-5.0227
29,2026-07-09 09:41:02,default,train,0,0,1,0,,-5.0271
29,2026-07-09 09:41:02,default,train,0,0,1,0,,-5.0224
29,2026-07-09 09:41:02,default,train,0,0,1,0,,-5.0162
29,2026-07-09 09:41:02,default,train,0,0,1,0,,-5.0225
30,2026-07-09 09:51:49,default,test,0,0,1,0,,-5.0154
30,2026-07-09 10:11:10,default,train,0,0,1,0,,-5.0161
